session,trialno,difficulty,accuracy,sideChosen,durExplorationPeriod,durDecisionPeriod,durPeriodTotal,SwitchesExplorationPeriod,SwitchesDecisionPeriod,NbSwitches,FixNbExplorationPeriod,FixNbDecisionPeriod,FixNb,FixNbInTDecision,FixNbInLExploration,FixNbInRExploration,FixNbBottomExploration,LookDurInTDecision,LookDurInLExploration,LookDurInRExploration,LookDurBottomExploration
curE002a,8,Easy,0.0,left,11270,924,12194,6,0,6,20,2,22,1,13,5,18,1208,4404,1076,5480
curE002a,9,Easy,1.0,left,2498,2182,4680,2,0,2,6,4,10,3,3,2,5,2176,1036,634,1670
curE002a,10,Easy,1.0,right,9912,2914,12826,3,1,4,11,6,17,3,3,5,8,2020,754,1904,2658
curE002a,11,Medium,1.0,right,2328,1582,3910,2,1,3,5,5,10,3,2,1,3,1780,584,410,994
curE002a,12,Medium,0.0,left,14272,984,15256,5,1,6,23,3,26,1,14,7,21,1296,4854,2700,7554
curE002a,13,Medium,1.0,left,13628,2218,15846,6,1,7,20,7,27,5,8,8,16,2850,3186,3482,6668
curE002a,14,Medium,0.0,left,5326,1600,6926,3,0,3,10,3,13,2,6,3,9,1352,2148,1016,3164
curE002a,16,Medium,0.0,left,2328,2150,4478,1,0,1,6,4,10,2,2,2,4,1726,458,542,1000
curE002a,19,Medium,0.0,left,5928,1200,7128,2,0,2,4,3,7,2,3,0,3,854,1438,0,1438
curE002a,20,Medium,0.0,right,3648,5432,9080,3,1,4,10,10,20,8,6,2,8,4368,2040,410,2450
curE002a,21,Easy,1.0,left,3532,3514,7046,2,2,4,6,4,10,1,1,2,3,1304,416,328,744
curE002a,24,Easy,1.0,right,3680,2750,6430,3,1,4,8,7,15,5,2,5,7,2244,690,1896,2586
curE002a,25,Easy,1.0,right,3816,1282,5098,2,0,2,8,3,11,2,2,4,6,1852,598,1772,2370
curE004a,8,Easy,1.0,left,4210,5898,10108,1,2,3,11,14,25,12,0,7,7,6210,0,2618,2618
curE004a,9,Easy,1.0,left,3682,1168,4850,1,0,1,8,3,11,2,7,0,7,1150,2952,0,2952
curE004a,10,Medium,0.0,left,10760,1784,12544,3,1,4,15,5,20,3,7,5,12,2074,2730,2440,5170
curE004a,13,Easy,0.0,right,5680,634,6314,3,0,3,15,2,17,1,2,10,12,322,300,4018,4318
curE004a,14,Easy,1.0,right,2332,3366,5698,1,1,2,6,10,16,7,4,0,4,2762,930,0,930
curE004a,15,Easy,1.0,left,19922,1350,21272,4,0,4,20,2,22,2,13,5,18,622,5360,1166,6526
curE004a,16,Medium,1.0,right,6612,1418,8030,3,1,4,17,4,21,3,12,2,14,1578,4002,996,4998
curE004a,21,Hard,1.0,left,4476,1868,6344,2,0,2,11,2,13,2,3,6,9,1066,666,1100,1766
curE004a,28,Medium,1.0,left,9512,1600,11112,2,0,2,9,4,13,3,2,5,7,1614,848,2614,3462
curE004a,29,Medium,0.0,left,3660,1648,5308,1,0,1,9,5,14,4,6,0,6,1870,2170,0,2170
curE004a,38,Easy,0.0,left,15544,1216,16760,6,0,6,27,3,30,2,8,18,26,1106,2512,6910,9422
curE004a,41,Easy,1.0,right,4882,3066,7948,2,0,2,6,10,16,7,4,1,5,2108,1330,448,1778
curE004a,42,Easy,1.0,left,2328,1400,3728,0,1,1,3,4,7,2,0,0,0,1844,0,0,0
curE004a,45,Medium,1.0,right,9292,1250,10542,4,1,5,20,3,23,2,12,5,17,676,3046,1952,4998
curE004a,46,Medium,0.0,left,2682,2216,4898,1,0,1,4,6,10,4,0,3,3,2174,0,1896,1896
curE004a,47,Medium,0.0,right,3942,2716,6658,2,0,2,10,4,14,3,2,7,9,2524,672,2474,3146
curE004a,52,Easy,0.0,right,8348,1832,10180,3,0,3,22,4,26,3,17,4,21,1874,6018,966,6984
curE004a,53,Easy,1.0,left,5076,2732,7808,2,1,3,12,5,17,4,3,5,8,3606,936,1996,2932
curE004a,54,Easy,0.0,left,2326,766,3092,2,1,3,6,3,9,1,1,3,4,670,558,808,1366
curE004a,55,Easy,0.0,right,8230,8280,16510,1,2,3,17,15,32,11,15,1,16,6450,4964,170,5134
curE004a,56,Easy,1.0,left,12908,1666,14574,4,0,4,22,5,27,4,13,6,19,2204,3958,2392,6350
curE004a,57,Easy,0.0,left,5248,1700,6948,3,0,3,8,4,12,2,2,5,7,1164,754,1404,2158
curE004a,58,Easy,0.0,left,8246,1732,9978,2,0,2,12,4,16,3,3,7,10,1658,794,3394,4188
curE004a,64,Easy,0.0,left,9560,2034,11594,3,1,4,20,5,25,4,6,12,18,2028,2020,3654,5674
curE004a,65,Easy,1.0,left,4564,10040,14604,1,1,2,7,12,19,11,5,0,5,5092,1152,0,1152
curE008a,9,Easy,0.0,right,9994,7048,17042,2,0,2,15,11,26,10,12,2,14,3880,5620,1680,7300
curE008a,10,Easy,0.0,left,8692,4116,12808,3,0,3,18,9,27,8,10,7,17,4114,4304,3060,7364
curE008a,11,Easy,1.0,left,5930,3000,8930,1,1,2,10,8,18,6,7,2,9,2662,2300,576,2876
curE008a,12,Easy,1.0,left,3798,5500,9298,2,1,3,8,13,21,12,4,3,7,4332,1026,1918,2944
curE008a,13,Medium,1.0,left,12296,766,13062,6,1,7,19,3,22,1,5,11,16,350,1630,3824,5454
curE008a,14,Medium,0.0,left,7480,7614,15094,3,0,3,14,17,31,15,10,3,13,6864,4458,1872,6330
